날짜,시간,광역,지역,종류,코드,내용,긴급도
2024-09-23,8:37:18,광주광역시,광주경찰청,실종,18,"북구 주민인 김장수씨(남,60세)를 찾습니다-176cm,96kg,흰색반팔티셔츠,밤색긴바지,회색슬리퍼
vo.la/jSHRbv / ☎112 [광주경찰청]",1
2025-04-11,8:30:21,경상남도,사천시,산불,3,▲실수로 낸 산불이라도 3년 이하의 징역형이나 3천만원 이하 벌금형에 처해질 수 있습니다.▲산림연접지(100m 내) 소각시 과태료 30만원이 부과됩니다.[사천시],1
2023-11-06,15:09:28,전라북도,,풍랑,9,"[행정안전부] 오늘 15시00분 풍랑경보, 어선 출항 금지, 해안가 낚시야영객은 안전지대로 대피바랍니다",4
2024-08-08,10:09:40,부산광역시,강서구,폭염,7,"폭염경보 발효중입니다. 한낮 야외활동과 야외작업(농어업, 건설현장 등)을 자제하시고 그늘에서 휴식과 충분한 수분섭취 등 건강관리에 유의하시기 바랍니다.[강서구]",2
2024-07-14,2:26:15,전라남도,완도군,호우,6,"호우주의보 발효에 따라 많은 비가 예상되고 있습니다. 해안가, 저지대, 산 인접지 등 위험 지역에는 접근 삼가 주시기 바랍니다. [완도군]",3
2023-12-15,16:27:35,강원특별자치도,영월군,교통,20,만항재 정상부에서 상동읍 구래리 산1-45 구간 수목전도 등으로 위험요인 제거 시까지 양방향 전면 교통통제 중입니다. 운행에 유의하시기 바랍니다.[영월군],2
2023-11-18,22:21:48,경상남도,,강풍,17,[김해시] 11.18.(토) 22시부로 김해시에 발효되었던 강풍주의보가 해제되었음을 알려드립니다.,1
2024-09-18,13:53:30,경상남도,함안군,폭염,7,"폭염특보 발효 중. 무더위 시간대(14~17시) 야외활동 자제, 충분한 물 섭취, 무더위쉼터 이용 등 건강 관리에 유의하시기 바랍니다. [함안군]",2
2024-08-26,13:33:21,경상남도,진주시,폭염,7,"폭염경보 지속 중. △나홀로 작업금지 △부모님 안부 전화 △폭염안전수칙(물,그늘,휴식) 준수 △외출 시 양산쓰기 등 건강관리에 유의바랍니다.[진주시]",2
2024-09-21,9:06:21,충청남도,공주시,호우,6,"20~21일부터 내린 많은 비로 인한 하천수위 상승 예상 ▲현재 산책로, 자전거길 전구간 통제하니, 하천변 접근금지 및 하천인근 차량이동 조치바랍니다.[공주시]",2
2024-09-18,18:03:46,충청북도,괴산군,산사태,4,"오늘 17:00 괴산군 청천면,칠성면 산사태 주의보가 발령되었으니, 산림주변 야외활동 및 입산금지 등 안전에 유의하시기 바랍니다. [괴산군]",3
2024-03-05,18:37:05,전라남도,전남경찰청,실종,18,"경찰은 함평군에서 실종된 김언숙씨(여,64세)를 찾습니다 -158cm,70kg,곱슬단발머리
vo.la/fRtcS / ☎112 [전남경찰청]",1
2025-01-29,8:16:02,충청남도,서산시,대설,13,"대설주의보 발효 중, 많은 눈이 내려 도로가 미끄러우니, 대중교통 이용, 교량 및 결빙지역 서행, 빙판길 낙상사고, 수도동파 등 안전에 유의바랍니다. [서산시]",2
2025-04-03,10:17:06,전라남도,광양시,산불,3,작은 부주의가 대형산불로 번질 수 있습니다. ▲입산 통제 ▲청명·한식 관련 소각 행위 금지 등 불씨관리에 주의바랍니다. [광양시],1
2024-07-06,18:25:50,전북특별자치도,군산시,강풍,17,"현재 강풍주의보 발효 및 야간 호우 예보. 강풍·호우 대비 하천, 해안가 접근 자제. 시설물, 선박 등 고정. 배수로 점검 등 피해에 유의바랍니다. [군산시]",3
2023-12-21,18:01:13,경기도,남양주시,한파,15,한파경보 발효 중. 영하권 추위가 지속되고 있으니 야외활동을 자제하시고 건강관리에 유의하시기 바랍니다.[남양주시],2
2024-06-26,13:54:51,서울특별시,서울경찰청,실종,18,"광진구에서 목격된 전혜린씨(여,42세)를 찾습니다-160cm,50kg,분홍색반팔,분홍색바지,흰색신발,아이보리모자
vo.la/bnsjo / ☎182 [서울경찰청]",1
2024-08-17,18:18:02,충청남도,아산시,화재,19,"환경과학공원 인근 수장리 공장에서 화재 발생. 인근 주민들은 자택에서 창문을 닫고, 화재 발생 장소 주변으로 접근하지 마시기 바랍니다. [아산시]",2
2025-02-24,14:00:05,경상북도,예천군,건조,2,"건조 및 강풍으로 산불 발생 위험 매우 높음 △논밭두렁, 영농부산물, 쓰레기 소각 절대 금지 △화목보일러 재처리 관리 등 산불예방에 유의 바랍니다. [예천군]",1
2024-09-21,7:04:07,경기도,평택시,호우,6,2024-09-21 06:50 세교 지하차도가 침수되어 통제하오니 주변통행 시민들께서는 우회도로를 이용하시기 바랍니다.[평택시],2
2024-08-10,11:07:44,전북특별자치도,고창군,물놀이,21,물놀이 사고예방 안전수칙 안내드립니다. ▲충분한 준비운동 ▲위험지역 물놀이금지 ▲구명조끼 착용 ▲야간 및 음주 후 입수금지▲어린이는 보호자와 동행 [고창군],1
2024-08-05,11:04:55,강원특별자치도,화천군,물놀이,21,"물놀이 사고가 다수 발생하고 있습니다. 물놀이 전 준비운동 실시, 구명조끼 착용 등 안전에 유의하시고. 음주 후에는 물놀이를 금하시기 바랍니다. [화천군]",1
2024-08-10,10:14:53,경기도,구리시청,폭염,7,"폭염경보 발효중. 낮 시간에는 야외활동을 자제하시고, 외출시에는 양산을 사용하시기 바랍니다. 충분한 수분섭취와 휴식을 취하시고, 건강에 유의하세요. [구리시청]",2
2024-08-04,16:00:10,경상남도,경상남도,폭염,7,"도내 폭염경보 및 호우특보 발효 중, 야외 작업 자제, 충분한 수분 섭취 및 휴식, 소나기로 인한 계곡 및 하천 안전사고에 유의하시기 바랍니다. [경상남도]",2
2024-08-31,9:36:06,전북특별자치도,부안군,폭염,7,"폭염주의보가 지속중입니다 충분한 수분 섭취와 휴식, 낮시간 야외활동 자제, 나홀로 작업 자제, 외출시에는 양산 이용 등 건강관리에 유의 바랍니다 [부안군]",2
2024-07-09,8:15:11,전북특별자치도,임실군,호우,6,"금일 발효된 호우주의보와 관련해 산사태 위험우려, 산사태취약지역 및 산림연접지역 주민들은 유사시 경로당, 마을회관 등 안전한 곳으로 대피하시기바랍니다. [임실군]",3
2024-08-04,13:30:38,경기도,평택시,폭염,7,평택시 폭염경보 발효 중. 온열질환 예방을 위한 야외작업을 자제하여 주시고 충분한 수분을 섭취하시기 바랍니다.(031-8024-4951)[평택시],2
2024-07-27,9:49:27,전라남도,화순군,폭염,7,폭염경보 발효중. 높은 기온과 습도로 온열질환 발생 확률이 높으므로 충분한 수분 섭취 및 휴식 등 폭염안전수칙을 준수하여 건강관리에 유의하시기 바랍니다.[화순군],2
2024-01-09,17:24:45,대구광역시,대구광역시,한파,15,"오늘 밤부터 내일 낮까지 많은 눈(대구 1~5cm, 군위 5~10cm)이 예상되오니 대중교통을 이용하시고, 눈길 미끄럼에 주의하시기 바랍니다. [대구광역시]",2
2024-11-27,7:32:33,강원특별자치도,태백시,한파,15,"새벽에 내린 눈으로 터널, 그늘진 곳 등 도로 결빙이 우려됩니다. 서행운전 등 교통안전에 주의하시고, 빙판길 보행자 안전에도 유의하시기 바랍니다. [태백시]",2
2025-03-20,15:36:37,전라남도,광양시,산불,3,"오늘 14시 49분경 광양시 옥곡면 선유리 214답 산불발생, 인근 주민과 등산객은 안전에 주의하시고, 입산을 자제하여 주시기 바랍니다.[광양시]",2
2023-12-23,6:29:19,제주특별자치도,제주도,교통,20,"이면도로, 인도 음지지역, 비탈지역 등은 빙판길이 예상되니 낙상사고가 없도록 보행안전에 유의 바랍니다. [제주도]",2
2025-04-09,15:21:24,경상북도,예천군,산불,3,"산불 예방을 위해 논밭두렁, 영농부산물, 쓰레기 등 소각행위를 금지하여 주시고 소각행위 또는 연기 발견 시 즉시 신고하여 주시기 바랍니다. [예천군]",1
2025-02-06,17:05:27,강원특별자치도,행정안전부,한파,15,한파경보 발표. 야외 활동을 자제하시고 외출 시 보온에 신경 쓰세요. 수도 계량기는 헌 옷 등으로 감싸 동파를 방지하세요. [행정안전부],3
2024-07-03,15:14:57,경상북도,성주군,폭염,7,"무더위가 지속되고 있습니다. 영농 작업 등 실외 활동 자제, 충분한 물 섭취 및 그늘에서 휴식을 취하는 등 건강관리에 유의하시길 바랍니다. [성주군]",2
2024-08-14,14:17:08,전라남도,무안군,물놀이,21,물놀이 사고 예방을 위해▲충분한 준비운동▲구명조끼 착용▲음주 후 수영금지▲어린이는 반드시 보호자와 함께하기 등 안전수칙을 준수 바랍니다.[무안군],1
2024-08-08,8:33:45,경상북도,경주시,폭염,7,"연이은 무더위로 온열질환 발생위험이 높음. 영농작업 및 야외활동 자제, 충분한 수분 섭취와 휴식하기 등 안전 수칙을 준수하여 건강을 지키시기 바랍니다.[경주시]",2
2024-08-07,14:56:33,강원특별자치도,양구군,폭염,7,"폭염이 지속되고 있으니 야외 활동 시 충분한 휴식, 물 섭취, 그늘 휴식, 노약자 외출자제 등 폭염 피해에 적극 유의하시기 바랍니다.[양구군]",2
2024-07-18,21:47:48,경기도,고양시청,교통,20,"팔당댐 방류로 2024-07-18 21:00부터 현천육갑문 전면 통제하오니, 파주방향 유턴 차량은
가양대교 북단 IC 등을 이용하여 주시기 바랍니다.[고양시청]",2
2023-10-11,10:29:37,부산광역시,,실종,18,"[부산경찰청] 부산진구에서 실종된 하지선씨(여, 29세)를 찾습니다-165cm,70kg,검정자켓,빨강줄무늬티셔츠,검정바지,등산화 vo.la/nWago / ☎182",1
2023-12-22,11:07:51,충청북도,괴산군,한파,15,"한파경보 발효 중. 야외 활동을 자제하여 주시고, 외출 시 방한용품 착용, 수도 계량기 동파 예방 등 건강관리 및 안전수칙에 유의하시기 바랍니다. [괴산군]",2
2024-10-03,18:01:24,강원특별자치도,강원경찰청,실종,18,"경찰은 원주시에서 실종된 진해진씨(남, 59세)를 찾습니다- 162cm,60kg,남색반팔,베이지색긴바지,검정신발 vo.la/ocevvp /☎112 [강원경찰청]",1
2024-10-15,6:28:51,경상남도,행정안전부,호우,6,"오늘 06:25 경남(거제) 호우주의보 발령. 하천 주변 산책로, 계곡, 급경사지, 농수로 등 위험 지역에는 가지 마시고, 하천 범람에 주의하세요. [행정안전부]",3
2025-02-05,11:14:28,경상북도,포항시,강풍,17,"강한 바람이 지속되고 높은 파도가 일고 있으니 시설물 관리, 방파제·갯바위·해안가 등 접근 및 입수 금지, 산림인근 소각금지, 안전사고에 주의바랍니다. [포항시]",2
2024-12-21,16:30:46,경상북도,행정안전부,강풍,17,"오늘 16:30 강풍경보. 야외 활동을 자제하시고, 날아가기 쉬운 입간판 등은 단단히 고정해 주세요. 물건이 떨어져서 다치지 않도록 유의하세요.[행정안전부]",3
2024-07-17,8:15:26,대구광역시,대구경찰청,실종,18,"달서구 주민인 배진희씨(남,68세)를 찾습니다-157cm,62kg,하늘색체크무늬셔츠,검정바지,검정신발
vo.la/GTJLf / ☎112 [대구경찰청]",1
2024-04-25,19:30:39,경상남도,경남경찰청,실종,18,"진주시 주민인 김갑상씨(남,89세)를 찾습니다 -170cm,민머리,진한녹색계열점퍼,검정바지,모자,마스크,지방이 vo.la/nNWAW / ☎112 [경남경찰청]",1
2023-09-01,18:51:09,경기도,,실종,18,"[경기북부경찰청] 의정부시에서 배회중인 조래삼씨(남,75세)를 찾습니다-165cm,60kg,파란긴팔,검정바지,흰운동화,회색모자 vo.la/aR2za / ☎182",1
2024-07-18,8:45:30,강원특별자치도,횡성군,호우,6,"횡성군 호우경보발표(08:30) 하천변, 산사태우려지역 접근금지. 안전지대에 머무르고, 대피 방송이 나오면 신속하게 대피하세요. . [횡성군]",3
2024-09-19,20:17:20,전라남도,행정안전부,호우,6,"오늘 20:10 전남(완도) 호우경보. 하천 주변, 계곡, 급경사지, 농수로 등 위험 지역에는 가지 마시고, 대피 권고를 받으면 즉시 대피하세요. [행정안전부]",3
2024-05-08,11:16:28,인천광역시,옹진군,기타,24,5.8.(수) 14시경 백령 및 연평도 지역에서 우리 군이 해상사격 예정입니다. 주민들은 야외활동을 자제바랍니다.[옹진군],1
2024-07-10,4:37:56,전북특별자치도,완주군,호우,6,"현재 완주군 전 지역에 많은 비가 내려 산사태 및 침수가 우려되므로 위험지역 접근, 통행을 금지하고 대피장소 및 안전한 곳으로 신속히 대피하시기 바랍니다[완주군]",4
2024-02-16,14:30:37,전라남도,전남경찰청,실종,18,"팔금면에서 실종된 김일례씨(여,85세)를 찾습니다-150cm, 검정색 조끼, 보라색 모자 착용, 보조기구 이용 거동가능 /112[전남경찰청]",1
2023-09-17,18:18:19,경상남도,,호우,6,[양산시청]동면 개곡마을 진입 통로박스 침수로 통제중이니 우회하시기 바랍니다.,2
2024-07-18,13:15:58,경기도,한국수자원공사,하천,23,"한탄강댐 초당 1,950톤 이내 조절방류 실시로 하천수위 상승 예상. 하천 주변에 계신 경우 안전한 곳으로 대피 바랍니다.[한국수자원공사]",2
2025-03-31,10:00:14,전북특별자치도,완주군,산불,3,"산불 재난 위기경보 심각단계 발령, ▲산림인접지 영농부산물, 쓰레기 등 소각행위 금지 ▲성묘·등산 등 입산 자제 ▲ 인화물 소지 금지.[완주군]",1
2024-06-29,12:08:01,경상북도,의성군,강풍,17,"오늘 오후부터 내일 낮까지 돌풍 동반 호우(15~30㎜)예보
△저수지 및 하천변 접근 자제
△농축산피해가 발생하지않도록 대비바랍니다.[의성군]",2
2024-06-03,9:47:04,경기도,가평군,기타,24,오늘 08:40 가평군 설악도서관 인근 상수관로 파손으로 설악면 지역이 단수중입니다. 상수관로 복구시까지 식수 확보 등 대비하여 주시기 바랍니다. [가평군],2
2024-08-03,10:22:47,전북특별자치도,익산시,물놀이,21,"물놀이 안전사고 예방을 위해 입수 전 준비운동, 구명조끼착용, 음주수영금지, 금지구역 입수하지 않기 등 안전수칙을 꼭 준수하여 주시기 바랍니다.[익산시]",1
2024-09-21,16:21:21,전라남도,나주시,호우,6,16시 호우경보 발효 ▲16~19시 시간당 최대 50mm 이상 많은 비 ▲물꼬작업 등 외출 절대 자제 ▲위험지역 거주민 안전한 장소로 사전대피 바랍니다.[나주시],4
2024-07-22,8:53:25,충청남도,공주시,폭염,7,"공주시 폭염주의보 발효중. ▲충분한 휴식 ▲야외활동 자제(논밭작업, 건설현장 등) ▲1인 현장활동 금지 ▲규칙적인 수분섭취 등 건강관리에 유의하세요. [공주시]",2
